COUNTRY,FATALITIES
Afghanistan,1362
Akrotiri and Dhekelia,0
Albania,1
Algeria,35
Andorra,0
Angola,98
Anguilla,0
Antarctica,0
Antigua and Barbuda,3
Argentina,3
Armenia,4
Aruba,0
Australia,0
Austria,0
Azerbaijan,2
Bahamas,0
Bahrain,0
Bailiwick of Guernsey,0
Bangladesh,1907
Barbados,0
Belarus,2
Belgium,0
Belize,23
Benin,275
Bermuda,0
Bhutan,0
Bolivia,19
Bosnia and Herzegovina,2
Botswana,2
Brazil,7486
British Virgin Islands,0
Bulgaria,0
Burkina Faso,7487
Burundi,168
Cambodia,0
Cameroon,2246
Canada,0
Cape Verde,0
Caribbean Netherlands,0
Cayman Islands,0
Central African Republic,757
Chad,561
Chile,49
China,11
Colombia,1756
Comoros,3
Cook Islands,0
Costa Rica,15
Croatia,0
Cuba,3
Curacao,0
Cyprus,0
Czech Republic,0
Democratic Republic of Congo,5499
Denmark,0
Djibouti,1
Dominica,0
Dominican Republic,13
East Timor,0
Ecuador,2878
Egypt,18
El Salvador,21
Equatorial Guinea,0
Eritrea,0
Estonia,0
Ethiopia,7545
Faroe Islands,0
Fiji,0
Finland,0
France,11
French Guiana,1
French Polynesia,0
Gabon,1
Gambia,1
Georgia,1
Germany,17
Ghana,148
Greece,2
Greenland,0
Guadeloupe,0
Guam,0
Guatemala,285
Guinea,64
Guinea-Bissau,9
Guyana,2
Haiti,3050
Honduras,492
Hungary,0
Iceland,0
India,1204
Indonesia,163
Iran,354
Iraq,1024
Ireland,0
Isle of Man,0
Israel,99
Italy,0
Ivory Coast,20
Jamaica,346
Japan,0
Jordan,3
Kazakhstan,5
Kenya,782
Kosovo,0
Kuwait,0
Kyrgyzstan,1
Laos,0
Latvia,1
Lebanon,4050
Lesotho,3
Liberia,6
Libya,160
Liechtenstein,0
Lithuania,0
Luxembourg,0
Madagascar,471
Malawi,50
Malaysia,3
Maldives,1
Mali,4019
Malta,0
Marshall Islands,0
Martinique,1
Mauritania,7
Mauritius,2
Mayotte,1
Mexico,8342
Moldova,0
Monaco,0
Mongolia,0
Montenegro,0
Morocco,42
Mozambique,674
Myanmar,20008
Namibia,6
Nepal,7
Netherlands,1
New Caledonia,19
New Zealand,0
Nicaragua,16
Niger,1864
Nigeria,9897
North Korea,30
North Macedonia,0
Northern Mariana Islands,0
Norway,0
Oman,10
Pakistan,3086
Palestine,30416
Panama,4
Papua New Guinea,324
Paraguay,6
Peru,43
Philippines,651
Poland,1
Portugal,1
Puerto Rico,206
Republic of Congo,1
Reunion,0
Romania,0
Russia,4797
Rwanda,11
Saint Lucia,1
Saint Pierre and Miquelon,0
Saint Vincent and the Grenadines,0
Saint-Martin,0
Samoa,0
San Marino,0
Sao Tome and Principe,0
Saudi Arabia,5
Senegal,19
Serbia,3
Seychelles,2
Sierra Leone,4
Singapore,0
Sint Maarten,1
Slovakia,1
Slovenia,0
Somalia,5557
South Africa,283
South Korea,0
South Sudan,2317
Spain,1
Sri Lanka,5
Sudan,16641
Suriname,0
Sweden,0
Switzerland,0
Syria,7116
Taiwan,0
Tajikistan,0
Tanzania,34
Thailand,50
Togo,153
Tonga,0
Trinidad and Tobago,329
Tunisia,3
Turkey,55
Uganda,243
Ukraine,73569
United Arab Emirates,1
United Kingdom,0
United States,33
Uruguay,0
Uzbekistan,2
Vanuatu,0
Vatican City,0
Venezuela,563
Vietnam,1
Wallis and Futuna,0
Yemen,3007
Zambia,10
Zimbabwe,18
eSwatini,10
