Country Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,,,,,,,,,28.85779953,29.17139053,28.54187965,,,,,,,,,,,,,23.28240895,
Albania,,,,,,,,,,,,,,,,,,6.105020046,,4.06011073,5.436455334,,,8.822063199,
Andorra,,,,,,,,,,,,,,,15.4607296,12.77278996,8.304969788,7.501669884,8.102629662,7.849830151,6.025730133,6.524549961,6.389579773,2.603549957,7.379429817
United Arab Emirates,,,,,,,,,,,,,,,,,,,1.630439997,0.087330312,,0.698702803,,,
Argentina,,,,,,,,,,,,,,,,,,,,,,,,,
Armenia,,,,,,,,,,,,7.379189968,,,,,8.424895142,9.649102163,10.78165675,11.86889897,9.773335447,7.698646358,6.400694561,7.822595447,4.286368603
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,,,,,,,,,,,,,,,,,,,,,0.155279994,0.613610029,1.390030026,1.71322,
Austria,1.189309955,,1.113739967,1.074100018,0.864539981,0.857179999,1.066550016,1.253000021,1.236179948,1.218819976,1.395779967,1.319110036,1.157480001,1.111789942,1.214589953,1.220839977,1.850379944,1.425899982,1.277750015,1.268239975,1.177559972,1.10939002,1.682700038,1.545250058,
Azerbaijan,,,,,,,11.20895004,12.13002968,11.48472977,12.0893898,13.198401,14.36277856,14.14389677,14.59749588,14.37369765,11.6485876,7.87148842,1.074040691,0.897139934,0.042092644,17.25021303,14.75019097,13.40173994,9.608864317,8.764797322
Burundi,,,,,,,,,,35.9499588,30.55001068,25.57724953,28.43680954,18.53442533,25.18895381,30.44772471,30.17547402,32.6265953,36.07666448,38.34955009,32.41596397,,,,
Belgium,0.758109987,,0.324690014,,0.355470002,,0.773500025,0.863489985,0.990700006,1.246230006,1.432500005,2.111890078,1.948439956,1.852740049,1.828719974,1.918349981,1.95855999,1.113049984,1.050209999,1.07328999,1.079040051,1.252730012,1.287930012,1.623819947,
Benin,,,,,,,,,,,,,,45.89625931,,,,,,,50.37599945,49.98324966,49.73299026,,
Burkina Faso,,87.67520142,,85.37590027,84.17459869,84.6563797,82.14376831,80.98110199,78.08470917,74.14842224,59.3591159,57.30585829,54.10818863,50.00874289,46.01650683,43.48264218,48.80384481,47.45362054,44.24916945,46.13116038,46.44255745,46.54597156,50.42747234,51.9116417,55.46582192
Bangladesh,,,,,,28.53742027,28.86511993,,,28.45957947,27.03988075,,,,,,,1.6862567,,,,8.097708677,16.23421417,12.51964755,12.79519755
Bulgaria,3.971899986,3.243469954,,,,,2.835700035,2.607670069,5.797410011,5.722990036,4.786429882,5.713970184,7.297319889,3.22803998,2.636349916,2.243989944,2.133519888,3.048130035,2.197259903,2.662309885,2.731220007,3.674520016,5.398159981,6.212080002,
Bahrain,0.80250001,,0.383520007,3.904360056,6.165740013,7.195720196,5.830009937,,,,,7.418906395,2.145365337,,,4.597252914,3.808927826,2.001790219,0.886856234,,,,,,1.818245639
"Bahamas, The",,,,,12.19904041,10.61423969,,,,,,,,,,,,,,,,23.32089996,,,14.90112105
Bosnia and Herzegovina,,,,,,,,,,,,,,,,7.951739788,9.492460251,12.35688019,11.59582996,5.534289837,2.768850088,1.334229946,,,
Belarus,,,,,,,,,,,,,,,,,,0.129463507,0.734466043,1.335355304,1.830070179,1.375246359,3.416816156,3.889467493,4.372227721
Belize,5.779940128,11.48791981,,6.954569817,,11.03870964,10.49582005,10.25452042,10.4366703,11.69104958,12.91735085,13.24547838,10.25047915,9.262156173,9.411000252,10.6877143,11.56590555,9.903114637,8.664142074,10.16369732,15.88692017,4.85319748,5.952380952,6.519159629,6.4020306
Bolivia,,,,,,,,,,4.073410034,4.620800018,6.10243988,3.450089931,4.253660202,7.808839798,9.912280083,12.25837994,14.17667961,13.90822029,14.01840019,12.26325035,11.94550037,10.94312,7.234399796,
Brazil,,,,,,,,,,,,,5.330719948,1.505519986,3.788939953,4.244999886,3.329149961,3.591300011,3.153160095,2.655469894,2.317280054,3.738840103,2.432940006,,
Barbados,,,,7.102369785,4.646900177,,,,7.274759769,4.962959766,7.53649635,3.902439024,,,,,,,,1.661004153,6.068990961,5.833942941,3.051162791,1.671525753,3.006012024
Brunei,,,,,,,,,,,,,,,,,,,0.66967762,,,,,,
Bhutan,50.1731987,46.11103058,,,,36.82183838,33.13327026,,23.63600922,19.72582054,13.65711021,9.879890442,5.498189926,7.387430191,,6.614689827,7.66395998,8.376669884,8.333330154,,,4.980310219,4.406631358,1.96046778,1.733377836
Botswana,8.08137989,,7.152319908,4.44907999,,,,,,,,,6.001079507,6.5964488,16.43362547,,,,,,,,8.801006454,,
Central African Republic,,,,,,,,,,71.22505188,,69.20955658,69.55193329,,,,,,,,,,,,
Canada,,,,,,,,,,,,,,,,,,,,,,,,1.241850019,
Switzerland,1.311229944,1.534420013,1.284049988,1.187579989,1.143280029,1.124770045,0.737410009,,,,,,,0.895910025,0.924430013,0.097949997,0.233030006,0.166060001,0.150350004,0.092299998,0.125090003,0.172370002,0.284740001,,
Chile,,,,,,,,2.907969952,3.600379944,4.880829811,3.327739954,3.598740101,4.005249977,3.52045989,3.158210039,3.497770071,3.239429951,3.448570013,2.880779982,2.286489964,2.545160055,2.231529951,1.488929987,,
China,,,,,,,,,,,,,,,,,,,,,,,,,
Cote d'Ivoire,,,,,,,,,,,,,,59.92453451,54.59412946,84.4056021,50.54275836,48.28709589,49.18504606,48.45426024,47.53972924,45.26847288,45.63574793,32.36559379,29.4432028
