Country Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Afghanistan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,65.98,69.82,70.63,69.61,..,..,..,..,..
Albania,..,..,..,107.93,104.72,..,..,108.72,109.86,107.61,101.49,100.7,118.65,87.77,106.87,98.14,99.87,104.46,102.03,94.48,97.04,94.85,97.5,91.7,107.25
Algeria,83.03,90.35,93.38,95.83,98.8,100.32,88.66,100.14,110.87,99.19,98.29,96.68,98.91,103.01,102.87,98.69,100.3,101.24,101.67,98.01,100.62,98.15,95.24,98.51,101.51
Andorra,..,..,94.17,96.57,98.9,..,..,..,..,..,..,..,..,..,64.8,68.97,64.92,66.67,62.89,63.01,60.81,60.51,..,67.99,65.19
Angola,..,..,..,..,..,..,..,..,37.38,37.22,36.92,36.51,..,..,..,..,..,..,..,..,..,59.42,..,48.82,..
Antigua and Barbuda,..,..,..,..,..,..,..,..,109.86,104.55,119.08,114.26,..,115.45,110.2,99.53,99.68,106.98,108.08,108.41,..,..,104.56,..,..
Argentina,100.01,99.82,102.6,100.17,98.45,95.49,96.53,99.38,102.99,103.47,103.62,103.79,104.01,103.47,105.57,106.21,107.81,102.17,100.94,101.05,101.14,103.77,100.95,99.92,..
Armenia,..,..,90.43,92.84,106.02,97,95.72,103.19,105.93,..,95.41,95.28,93.67,..,91.77,91.45,88.08,89.1,86.63,91.62,93.76,93.67,92.08,93.4,96.59
Aruba,..,93.22,104.55,95.61,93.93,94.09,101.52,101.73,104.17,98.06,97.97,..,..,98.37,98.36,..,..,..,99.58,106.55,100.6,98.52,91.96,..,..
Australia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Austria,..,..,99.5,..,100.31,..,..,..,..,..,..,100.44,96.78,98.53,98.1,98.63,96.57,98.89,98.21,98.98,97.44,100.08,96.62,97.89,..
Azerbaijan,85.5,93.98,100.99,90.25,94.86,89.61,90.93,98.49,89.72,91.43,88.98,92.18,91.59,86.55,97.61,101.62,109.72,107.62,100.64,100.37,99.17,96.53,99.01,95.95,96.23
"Bahamas, The",..,..,..,..,..,99.01,92.41,96.06,96.86,97.78,92.7,106.26,103.72,94.48,95.54,102.57,89.54,..,84.03,88.41,..,..,..,..,..
Bahrain,95.48,99.27,99.9,93.48,95.18,94.19,..,..,..,..,..,94.32,100.61,104.05,102.09,99.63,101.22,98.27,97.66,97.05,..,..,100.91,89.77,94.63
Bangladesh,..,..,..,..,..,66.54,..,..,57.55,62.77,64.18,..,..,..,..,..,..,..,..,..,..,114.86,106.52,107.79,102.83
Barbados,97.07,104.47,102.92,109.12,101.17,101.17,98.82,98.05,98.79,99.13,97.69,97.21,..,..,..,..,..,..,88.57,83.84,93.77,96.47,85.28,93.31,89.12
Belarus,105.15,110.46,132.86,105.46,102.76,101.24,102.4,101.15,97.77,..,..,103.18,101.39,100.31,100.95,98.34,99.5,97.52,98.23,102.2,97.57,94.99,93.04,94.21,96.18
Belgium,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Belize,94.94,101.55,..,100.49,100.95,102.79,100.83,106.81,99.47,103.26,98.2,104.26,109.65,103.35,103.1,105.38,106.15,102.29,103.92,102.92,104.81,114.21,106.84,94.85,96.42
Benin,24.05,27.08,28.66,33,38.15,..,..,..,50.29,..,54.82,60.41,61.8,67.44,69.09,70.94,70.63,..,..,56.01,54.82,64.43,59.08,..,..
Bermuda,..,103.39,106.98,104.02,..,..,..,..,..,..,..,97.94,89.66,103.52,..,..,..,..,..,..,..,..,..,..,..
Bhutan,49.79,49.81,..,..,..,..,72.92,..,85.44,89.8,102.93,100.46,108.58,103.5,104.51,101.89,103.6,101.06,90.73,83.27,91.28,99.12,..,..,94.83
Bolivia,..,..,..,..,..,..,..,..,..,..,97.82,97.74,98.74,95.99,91.87,89,89.75,90.79,93.56,90.86,92.42,..,96.92,96.31,..
Bosnia and Herzegovina,..,..,..,..,..,..,..,..,..,..,73.5,79.24,79.28,76.42,84.27,90.74,91.45,94.29,94.56,100.74,96.5,98.54,101.55,101.99,..
Botswana,92.15,96.14,97.9,98.72,98.67,99.58,102.13,97.62,100.95,103.85,..,..,104.41,101.07,..,..,..,..,..,..,..,..,103.52,..,..
Brazil,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
British Virgin Islands,..,..,113.74,98.38,107.61,106.49,107.98,91.53,..,96.43,94.42,89.57,92.63,99.06,97.1,98.61,80.62,82.13,64.88,56.27,67.73,..,..,79.81,53.96
Brunei Darussalam,117.77,119.27,115.69,116.87,115.21,117.95,118.68,121.55,117.86,112.58,106.88,111.67,104.75,105.49,98.49,100.81,103.93,104.79,107.39,102.98,106.36,102.64,107.75,103.46,..
Bulgaria,95.53,100.3,101.53,101.94,102.79,104.74,107.54,103.99,103.24,100.92,99.53,99.29,99.04,99.86,98.85,99.27,98.52,98.7,97.4,96.78,97.91,92.74,95.41,94.2,..
Burkina Faso,19.51,20.35,21.54,23.41,24.78,26.28,27.91,29.67,33.09,38.98,42.88,..,54.37,60.75,61.12,61.49,62.1,64.06,65.2,64.92,66,68.57,63.65,57.23,57.37
Burundi,22.41,22.65,22.81,25.81,26.42,30.58,..,43.85,38.8,46.56,51.42,57.92,64.27,72.53,71.48,64.75,66.96,65.89,59.68,56.02,51.27,..,..,..,..
Cabo Verde,104.65,98.3,99.1,101.31,97.29,85.75,97.62,92.49,100.63,95.24,97.1,94.72,97.87,97.21,100.36,104.32,97.69,92.93,93.36,103.41,95.18,95.71,100.08,..,..
Cambodia,..,45.07,54.28,60.96,73.57,85.54,89.1,89.61,87.11,87.27,88.98,89.08,92.14,89.32,94.12,90.79,87.94,86.65,83.36,85.02,93.21,93.96,89.49,89.43,93.16
Cameroon,47.75,..,..,53.55,54.84,..,48.1,50.52,66.15,65.77,67.43,66.36,70.55,..,70.07,71.37,70.06,64.9,61.42,62.56,..,65.84,67.16,69.26,72.41
Canada,98.28,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Cayman Islands,103.86,98.44,109.02,..,92.55,103.91,88.73,111.55,93.24,..,..,106.41,105.49,101.61,..,..,..,..,96.45,82.04,..,96.9,93.49,103.42,108.75
Central African Republic,..,..,..,..,15.6,17.23,17.77,..,23.25,25.83,26.78,28.77,30.52,..,..,..,31.17,..,..,..,..,..,..,..,..
Chad,12.48,14.07,16.12,20.2,21.94,19.7,20.66,..,..,22.49,22.95,25.9,26.2,29.13,..,29.98,32.7,29.98,32.63,..,..,36.26,..,..,..
Channel Islands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Chile,..,..,..,..,..,..,..,..,..,..,..,95.19,97.52,96.61,98.19,97.63,97.83,97.53,97.69,96.95,97.54,97.72,98.81,99.2,..
China,..,..,..,..,..,..,92.25,96.06,104.32,105.02,103.94,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Colombia,101.64,..,98.62,..,105.75,108.82,114.7,116.76,116.28,121.89,121.29,118.82,113.08,102.96,102.17,101.97,102.7,106.48,105.19,103.19,99.61,98.27,96.75,..,..
Comoros,..,..,50.79,50.81,56.66,..,..,56.43,59.23,..,..,..,..,79.34,85.39,..,..,83.39,..,..,..,74.08,..,..,73.54
"Congo, Dem. Rep.",..,..,31.64,..,..,..,..,38.77,43.44,46.51,50.13,49.89,54.87,57.15,..,65.51,..,..,..,..,72.92,77.53,..,72.92,..
"Congo, Rep.",..,54.11,56.01,51.75,73.16,64.42,68.87,68.9,64.81,64.14,65.78,74.44,76.92,..,..,..,..,..,..,..,..,..,..,71.03,..
Costa Rica,85.83,88.58,92.39,..,90.67,91.24,85.1,91.41,91.01,95.42,95.58,98.58,94.1,95.51,91.39,92.85,92.6,91.52,91.33,93.53,98.73,100.08,92.38,101.24,..
Cote d'Ivoire,29.13,33.83,..,..,..,..,29.26,32.03,..,34.06,..,44.93,46.04,48.35,51.32,56.59,60.08,63.96,65.17,68.43,70.5,69.04,65.66,77.65,80.82
Croatia,..,101.79,98.55,101.87,..,100.67,99.45,100.02,97.38,97,97.27,97.66,97.69,97.49,97.21,101.77,97.94,98.27,101.39,99.73,100.81,97.8,100.02,100.19,..
Cuba,98.68,96.96,99.92,97.03,95.71,96.46,96.3,97.75,92.51,97.77,96.24,95.18,92.25,91.6,96.29,95.96,95.18,95.99,91.36,91.31,94.95,97.43,93.75,93.73,91.97
Curacao,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Cyprus,97.27,98.58,100.9,102.75,86.38,98.53,99.53,98.1,97.72,99.86,100.86,101.55,99.69,97.86,100.1,97.8,98.93,101.16,101.86,102.13,99.4,100.75,100.14,100.08,..
Czechia,101.9,97.83,102.53,100.58,100.14,106.74,104.32,105.08,101.05,100.79,101.86,100.81,98.97,99.26,99.56,97.43,97.97,97.32,93.39,96.51,96.59,101.59,102.68,97.93,..
Denmark,100,99.48,102.68,..,100.06,98.85,103.73,100,99.56,98.78,99.55,101.07,99.77,99.3,100.18,99.76,100.89,101.1,99.63,100.53,99.66,99.54,99.57,99.21,..
Djibouti,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Dominica,109.82,112.36,104.65,98.99,105.92,110.47,98.38,100.76,96.97,90.28,88.42,99.15,93.63,93.99,94.39,100.94,103.04,103.77,98.12,96,..,91.97,94.93,94.96,96.13
Dominican Republic,82.58,..,95.9,..,90.49,..,89.34,95.24,..,93.82,92.16,94.01,94.57,94.82,94.85,97.92,96.99,95.02,93.24,93.39,96.9,88.99,90.12,92.36,90.69
Ecuador,94.67,95.01,93.88,93.3,92.95,97.23,96.75,97.46,..,97.36,102.59,106.15,106.04,104.82,106.42,99.75,97.23,99.74,99.06,96.39,95.78,94.7,100.75,101.45,..
"Egypt, Arab Rep.",84.56,82.65,83.17,82.31,83.84,83.27,81.3,84.7,..,85.7,86.34,..,..,88.85,..,..,84.12,83.39,86.73,88.89,92.14,92.4,..,94.25,98.52
El Salvador,83,84.34,85.07,86.11,..,90.59,89.65,94.33,94.64,97.59,98.23,99.94,98.33,96.69,95.9,93.02,92.69,92.82,89.82,..,83.77,85.8,82.28,82.57,84.23
Equatorial Guinea,31.67,..,..,22.11,..,31.22,..,..,30.06,32.7,35.49,35.13,36.96,..,..,34.07,..,..,..,..,..,..,..,..,..
Eritrea,54.91,56.62,51,54.75,58.2,74.01,66.5,65.98,59.63,64.42,56.06,55.33,52.2,52.04,..,56.74,..,63.89,62.66,..,..,..,55.75,..,..
Estonia,99.07,102.19,102.25,104.11,106.02,102.51,102.48,101.34,101.95,100.13,100.5,100.18,98.03,97.97,99.01,96.44,98.17,96,96.81,97.16,95.94,98.2,98.26,97.37,..
Eswatini,66.17,62.99,66.09,64.82,66.62,69.85,69.15,71.74,..,76.2,83.67,83.39,83.96,84.66,86.96,92.48,98.06,101.6,101.68,98.77,..,..,108.32,95.27,..
Ethiopia,15.74,19.32,21.73,24.32,27.67,34,39.67,40.36,44.28,48.4,54.26,49.46,49.91,..,50.95,50.55,..,..,..,..,60.31,..,59.62,54.55,54.23
Faroe Islands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Fiji,89.3,93.79,97.17,..,98.5,..,98.06,..,91.43,92.46,..,93.59,96.56,94.75,94.88,98.76,97.04,98.2,100.58,100.07,98.89,112.77,110.82,113.8,113.79
Finland,99.83,99.28,98.89,98.9,99.25,98.91,99.4,98.97,98.85,99.44,98.91,99.28,98.76,98.98,99.03,99.5,99.16,99.21,99.59,99.37,98.9,99.43,98.13,98.87,..
France,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
French Polynesia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Gabon,..,..,70.35,68.63,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Gambia, The",51.61,53.01,51.2,55.2,55.1,54.3,53.49,60.43,68.12,..,62.12,59.31,60.57,63.29,63.95,65.16,66.78,..,73.38,79.35,82.67,85.72,87.34,87.61,90.43
Georgia,98.87,108.08,115.55,107.92,113.33,106.1,..,..,110.85,109.97,109.45,..,103.97,106.19,105.1,104.41,117.64,118.38,100.51,96.76,91.4,85.54,109.22,104.56,102.93
Germany,99.05,107.03,103.39,102.07,102.84,101.04,99.69,102.22,102.8,104.01,101.13,103.64,102.06,101.8,99.25,101.87,100.1,97.65,98.74,99.93,98.49,101.02,98,99.26,..
Ghana,61.47,59.06,60.35,65.62,59.15,67.34,66.07,71.67,78.71,78.5,..,84.37,100.25,89.45,87.87,92.91,..,88.08,88.68,93.78,..,..,93.11,..,..
Gibraltar,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,104.74,116.22,..,112.21,122.9,106.97,120.39,110.71,96.09
Greece,..,..,..,..,94.15,98.55,98.55,98.55,..,..,97.25,94.98,97.28,94.27,95.29,96.93,98.27,97.72,97.07,97.98,97.75,95.78,99.25,99.63,..
Greenland,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Grenada,..,..,90.45,103.61,..,107,..,106.48,115.76,123.29,111.98,..,..,102.89,..,..,96.23,..,113.51,..,..,92.22,..,..,94.61
Guam,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Guatemala,49.86,51.86,56.02,..,63,67.25,70.57,71.43,74.49,79.83,81.37,84.74,84.97,85.4,85.09,84.14,80.83,80.33,80.15,79.53,81.07,87.2,86.77,86.83,87.76
Guinea,19.86,22.22,26.08,28.57,36.78,42.43,47.66,48.71,42.7,47.47,46.38,..,54.48,55.42,57.5,..,53.37,..,..,..,52.73,..,..,..,..
Guinea-Bissau,20.37,..,..,..,..,..,..,..,..,..,55.82,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Guyana,101.4,79.48,..,70.61,..,97.89,97.87,97.2,96.14,99.45,94.61,101.44,103.26,..,..,..,..,..,..,..,..,..,..,..,..
Haiti,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Honduras,..,..,..,79.61,..,79.39,84.67,..,83.72,85.44,89.36,90.3,88.44,81.52,77.29,..,79.42,80.69,..,79.07,78.94,73.6,70.28,75.36,73.86
"Hong Kong SAR, China",..,..,..,103.47,99.17,99.42,100.09,98.1,95.08,94.35,100.8,101.61,102.19,111.79,101.18,93.3,93.38,110.7,92.42,96.46,103.87,118.59,104.16,..,90.72
Hungary,98.65,96.89,97.89,97.97,99.24,96.69,99.17,97.14,99.93,98.5,98.95,97.11,97.71,97.83,98.36,98.52,97.11,99.66,98.85,93.18,92.9,93.42,97.55,96.29,..
Iceland,99.54,98.55,98.68,98.65,98.53,98.74,98.63,98.88,99.16,98.28,99.24,99,99.21,99.03,98.24,99.26,99.81,98.89,98.41,99.64,98.15,98.49,99.23,98.35,..
India,66.57,67.39,70.64,79.13,..,..,..,..,97.79,99.42,..,92.84,..,99.04,100.98,102.17,101.63,100.35,..,97.2,99.13,99.96,..,93.98,95.2
Indonesia,..,95.13,96.76,98.7,98.94,99.1,96.79,98.26,97.58,99.55,97.52,102.89,109.57,108.5,106.22,105.41,106.73,103.77,101.58,102.43,101.32,102.05,100.6,98.79,..
"Iran, Islamic Rep.",85.87,88.1,88.36,85.65,104.82,114.55,99.22,93.84,94.85,96.69,96.35,95.3,93.91,..,..,95.25,96.96,94.31,..,91.19,96.42,..,..,..,..
Iraq,48.5,..,..,..,61.1,..,..,53.68,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Ireland,96.46,94.98,95.02,95.33,96.79,95.55,..,..,..,..,..,..,..,99.52,100.59,99.32,100.43,99.42,97.2,102.42,99.88,99.21,98.02,..,..
Isle of Man,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Israel,..,..,96.69,96.94,98.18,94.8,94.87,96.61,93.78,99.75,96.3,96.06,99.38,95.91,95.22,99.55,94.95,99.72,95.25,94.46,99.26,95.22,95.19,96.61,..
Italy,101.39,101.41,99.87,100.15,102.57,102.25,101.88,102.62,105.56,101.33,101.23,100.64,98.95,99.63,99.24,98.96,98.34,99.61,98.66,97.97,98.6,97.69,96.94,97.37,..
Jamaica,87.45,83.23,86.55,..,81.16,..,..,85.17,..,81.81,89.6,88,99.82,94.4,89.34,87.38,86.01,88.59,85.83,85.9,73.74,..,..,81.76,..
Japan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Jordan,..,..,85.54,88.83,89.98,94.9,94.45,97.14,94.91,..,..,85.28,..,89.2,94.47,..,94.85,94.04,95.09,96.33,97.05,96.17,95.51,97.64,97.77
Kazakhstan,91.76,92.75,93.9,94.63,100.28,99.59,97.01,96.36,99.89,97.04,97.35,103.64,97.08,95.52,95.53,93.19,92.86,95.17,98.06,95.68,96.83,92.95,100.27,102,93.31
Kenya,..,..,..,..,84.21,86.41,..,..,..,..,..,..,..,..,99.26,101.37,102.12,..,..,..,..,..,..,..,..
Kiribati,91.53,112.82,106.37,106.45,112.53,111.21,106.59,100.84,107.81,..,..,..,..,..,104.13,..,102.72,..,..,..,94.24,98.11,102.16,105.78,88.33
"Korea, Dem. People's Rep.",..,..,..,..,..,..,..,..,..,96.52,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Korea, Rep.",101.47,99.7,95.22,100.67,100.66,98.88,98.81,100.31,99.42,101.74,101.79,97.59,101.63,104.39,97.57,100.24,103.49,97.73,96.43,99.91,101.17,98.45,95.59,98.4,..
Kosovo,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Kuwait,91.21,84.07,91.72,100.53,103.69,111.62,..,109.55,..,..,101.92,101.6,96.85,99.26,..,..,101.19,96.17,96.78,93.42,91.79,91.25,..,..,..
Kyrgyz Republic,88.52,87.36,87.45,84.1,87.19,89.75,92.48,91.63,93.78,95.78,94.75,93.74,96.07,96.52,95.58,97.83,95.86,96.86,95.83,105.78,99.41,93.66,96.83,96.33,98.28
Lao PDR,60.8,61.76,62.98,62.61,62.6,65.01,67.45,70.46,73.22,75.75,80.1,85.78,89.94,95.69,98.22,99.51,98.43,100.24,97.46,93.24,90.06,90.12,88.28,89.32,87.64
Latvia,98.85,100.17,99.32,99.71,103.56,101.55,102.73,100,101.49,99.09,100.3,98.98,98.49,98.76,99.92,101.07,97.99,99.01,99.2,98.64,98.95,98.02,98.52,97.86,..
Lebanon,73.93,73.16,72.26,75.5,75.87,74.2,76.65,79.31,80.31,78.3,79.38,77.02,75.89,74.71,63.29,64.38,67.34,69.55,68.87,69.3,69.61,66.63,69.29,68.63,..
Lesotho,63.51,66.02,69.27,72.65,77.42,75.23,99.03,93.54,90.19,90.55,91.47,91.02,91.31,92.01,88.55,85.15,86.26,..,96.79,85.92,79.54,84.18,75.72,71.87,..
Liberia,..,..,..,..,..,..,55.99,..,52.36,51.75,..,57.49,..,..,52.81,..,60,54.38,..,..,..,59.4,59.02,..,..
Libya,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Liechtenstein,..,..,..,97.54,103.86,101.84,109.14,103.2,101.45,96.83,106.64,100.46,98.97,..,84.46,112.5,103.09,84.77,111.17,95.45,100,94.71,..,..,..
Lithuania,101.79,102.27,102.44,100.68,102.54,101.62,102.73,103.87,98.33,97.97,99.46,97.78,100.55,101.4,100.86,100.25,100.63,101.61,103.45,110.03,108.44,99.45,100.33,106.02,..
Luxembourg,..,..,..,..,..,..,..,..,..,..,89.59,84.54,85.47,84.75,83.83,82.63,81.56,82.56,75.91,79.21,79.23,79.04,78.01,79.33,..
"Macao SAR, China",..,100.3,104.55,99.67,102.15,94.76,97.17,90.8,92.27,91.51,97.22,97.89,99.62,98.68,94.47,99.71,90.84,115.82,100.57,91.36,90.38,96.04,93.78,92.2,93.91
Madagascar,35.39,34.99,34.9,38.62,44.28,54.99,53.4,56.93,62.85,69.22,66.11,67.88,66.99,66.61,67.15,67.57,66.56,66.25,64.27,61.59,59.83,63.49,60.02,61.11,63.72
Malawi,59.95,63.4,65.44,..,58.5,58.91,59.47,61.12,66.08,68.4,66.19,70.39,72.86,76.97,77.67,..,..,..,..,80.11,..,90.75,..,72.81,74.47
Malaysia,102.65,..,90.89,89.91,93.45,97.33,96.22,97.26,101.59,103.77,100.37,101.21,106.76,101.49,99.44,96.66,92.94,92.64,93.28,92.25,95.93,93.47,86.54,93.94,89.89
Maldives,..,..,..,..,..,135.66,126.84,..,109.15,110.51,108.46,103.11,95.99,89.65,95.42,94.31,98.59,96.5,100.15,99.38,..,..,100.08,97.06,98.12
Mali,21.45,23.41,25.47,28.23,29.76,31.38,35.95,38.67,42.64,45.02,47.95,48.62,46.25,..,46.36,44.67,44.38,43.54,..,..,..,..,..,47.14,..
